#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
metaportalbrand.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalbrand.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalbusiness.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalbusiness.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalforbusiness.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalforbusiness.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalgo.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalgo.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalmini.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalmini.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalplus.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportalplus.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportaltv.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaportaltv.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metapytorch.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metapytorch.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaquestdevelopers.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaquestdevelopers.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaquestforbusiness.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaquestforbusiness.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaqueststorystudios.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaqueststorystudios.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaqueststudios.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaqueststudios.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaquestvenues.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaquestvenues.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaquestvrforgood.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaquestvrforgood.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaquill.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaquill.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metarightsmanager.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metarightsmanager.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metarightstool.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metarightstool.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metasalespartners.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metasalespartners.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metasocialgood.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metasocialgood.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metasocialimpact.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metasocialimpact.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metasparkar.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metasparkar.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metasparkarstudio.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metasparkarstudio.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metatechprep.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metatechprep.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaterragraph.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaterragraph.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metatransparency.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metatransparencyreport.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metatransparencyreport.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metavrforgood.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metavrforgood.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metawhatsapp.tv,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metawhatsappbusiness.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metawhatsappbusiness.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metawhatsapppayments.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metawhatsapppayments.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaworkplace.name,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaworkplace.tv,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaworkplacebrand.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaworkplacebrand.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaworkplacechat.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaworkplacechat.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaworkplaceforgood.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metaworkplaceforgood.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metazerofrictionfuture.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
metazerofrictionfuture.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
newsatmeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
newsatmeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
novifrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
novifrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
portalfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
portalfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
pytorchfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
pytorchfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
questfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
questfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
socialimpactfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
socialimpactfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
whatsappfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
whatsappfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
womenatmeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
womenatmeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
workatmeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
workatmeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
workonmeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
workonmeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
workplacefrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
workplacefrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
workroomsfrommeta.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
workroomsfrommeta.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
threads.net,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
threads.instagram.com,suspend,FALSE,FALSE,We do not federate with Facebook/Meta,FALSE
